date	<18	18-29	30-39	40-49	50-59	60-69	70-79	80+	known	total	comment
2021-08-19	1.4	3.6	8.9	17.4	22.7	25.0	14.6	6.3 97.3	621
2021-08-12	1.8	3.7	6.6	15.3	21.9	25.8	19.5	5.5 97.0	471
2021-08-05	.8	3.4	7.4	11.3	25.6	28.8	18.2	4.5 97.9	387
2021-07-29	.9	2.4	7.1	9.7	25.9	30.6	19.7	3.8 98.0	347
2021-07-22	1.2	4.6	5.5	10.7	23.8	33.9	16.0	2.3 97.5	354
2021-07-15	.8	2.8	3.9	9.5	24.2	35.5	19.0	4.4 98.2	396
2021-07-08	.7	2.6	3.5	11.7	24.7	35.8	18.2	2.8 98.1	470
2021-07-01	.4	2.5	4.1	11.0	25.3	34.9	18.5	3.4 95.3	590
2021-06-24	.4	1.6	4.4	10.5	23.1	35.9	19.4	4.8 93.9	781
2021-06-17	.4	1.6	4.3	9.6	23.3	34.9	21.4	4.6 95.6	1068
2021-06-10	.6	1.5	3.8	9.0	22.8	34.8	22.6	5.5 95.7	1510
2021-06-03	.3	1.3	3.4	7.9	22.7	35.1	23.1	6.2 93.8	2036
2021-05-27	.3	1.3	2.7	8.1	21.7	32.5	26.3	7.2 91.9	2836
2021-05-20	.4	1.2	2.7	7.9	22.8	31.8	26.	7.1 93.7	3594	
2021-05-13	.3	1	2.8	7.8	22.	31.4	27.2	7.5 ?	4256	
2021-05-06	?	.9	3.	8.2	21.8	31.9	26.6	7.6 91.	4768	"first report"
2020-12-15	?	?	?	5	12	21	27	32	?	?	"INEK Sonderauswertung"
