Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	30.894	5,2	1.844,5	15.873	5,6	1.842,5	14.665	4,8	1.802,8
10-19	57.372	9,7	3.360,6	28.680	10,2	3.249,2	28.306	9,3	3.433,1
20-29	100.981	17,1	4.615,6	48.905	17,4	4.303,6	51.594	17,0	4.907,1
30-39	87.745	14,9	3.909,8	43.952	15,6	3.877,7	43.396	14,3	3.906,7
40-49	85.144	14,5	3.907,7	40.011	14,2	3.709,9	44.760	14,7	4.067,7
50-59	96.433	16,4	3.286,0	47.649	16,9	3.249,8	48.417	15,9	3.297,3
60-69	50.947	8,7	2.283,2	25.657	9,1	2.385,0	25.114	8,3	2.173,3
70-79	30.896	5,2	1.966,1	14.700	5,2	2.064,0	16.058	5,3	1.868,8
80-89	35.135	6,0	3.386,3	12.931	4,6	3.145,8	21.997	7,2	3.511,0
90+	12.613	2,1	7.040,4	2.928	1,0	6.075,3	9.559	3,1	7.299,4
Gesamt (inkl. unbekannt)	588.894	100,0	3.281,3	281.544	100,0	3.197,2	304.115	100,0	3.326,8
Anteil Männer/Frauen (%)				47,8			51,6		
