Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.613	4,7	1.409,8	12.144	5,1	1.409,6	11.224	4,3	1.379,8
10-19	48.522	9,7	2.842,2	24.111	10,1	2.731,5	24.106	9,2	2.923,7
20-29	86.549	17,2	3.956,0	41.758	17,5	3.674,7	44.345	17,0	4.217,6
30-39	74.213	14,8	3.306,8	36.940	15,5	3.259,1	36.924	14,1	3.324,1
40-49	72.495	14,4	3.327,2	33.738	14,2	3.128,2	38.447	14,7	3.494,0
50-59	82.842	16,5	2.822,9	40.526	17,0	2.764,0	41.995	16,1	2.859,9
60-69	43.473	8,6	1.948,3	21.800	9,2	2.026,4	21.506	8,2	1.861,1
70-79	26.737	5,3	1.701,4	12.689	5,3	1.781,7	13.904	5,3	1.618,1
80-89	31.571	6,3	3.042,8	11.480	4,8	2.792,8	19.867	7,6	3.171,1
90+	11.721	2,3	6.542,5	2.644	1,1	5.486,0	8.941	3,4	6.827,5
Gesamt (inkl. unbekannt)	502.722	100,0	2.801,1	238.172	100,0	2.704,7	261.609	100,0	2.861,9
Anteil Männer/Frauen (%)				47,4			52,0		
