Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	86	0,7	0,1	60	0,9	0,2	26	0,4	0,1
50-59	440	3,5	0,5	313	4,8	0,7	126	2,1	0,3
60-69	1.055	8,3	2,3	734	11,2	3,2	317	5,2	1,4
70-79	2.535	19,9	9,1	1.599	24,4	12,0	929	15,2	6,4
80-89	5.755	45,2	17,5	2.874	43,8	23,9	2.858	46,8	13,8
90+	2.812	22,1	23,3	956	14,6	34,6	1.840	30,1	20,0
Gesamt (inkl. unbekannt)	12.721	100,0	2,4	6.561	100,0	2,6	6.109	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
