Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	1	0,0	0,0	3	0,1	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	22	0,2	0,0	15	0,3	0,0	7	0,1	0,0
40-49	77	0,7	0,1	53	1,0	0,2	24	0,5	0,1
50-59	359	3,4	0,5	261	4,8	0,7	98	1,9	0,2
60-69	889	8,3	2,1	606	11,0	2,9	280	5,4	1,4
70-79	2.124	19,8	8,3	1.346	24,5	11,1	773	14,9	5,8
80-89	4.852	45,3	16,2	2.420	44,0	22,3	2.416	46,6	12,8
90+	2.368	22,1	21,2	783	14,3	31,4	1.574	30,4	18,4
Gesamt (inkl. unbekannt)	10.714	100,0	2,2	5.494	100,0	2,4	5.185	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,4		
