Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	89	0,7	0,1	62	0,9	0,2	27	0,4	0,1
50-59	454	3,5	0,5	321	4,7	0,7	132	2,1	0,3
60-69	1.092	8,3	2,4	763	11,3	3,3	325	5,2	1,4
70-79	2.626	20,0	9,2	1.654	24,4	12,2	965	15,3	6,5
80-89	5.936	45,2	17,7	2.975	43,9	24,3	2.938	46,6	14,0
90+	2.905	22,1	23,8	981	14,5	34,9	1.908	30,2	20,5
Gesamt (inkl. unbekannt)	13.141	100,0	2,5	6.782	100,0	2,7	6.308	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
