Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	1	0,0	0,0	3	0,1	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	22	0,2	0,0	15	0,3	0,0	7	0,1	0,0
40-49	77	0,7	0,1	53	1,0	0,2	24	0,5	0,1
50-59	359	3,3	0,4	260	4,7	0,7	99	1,9	0,2
60-69	897	8,3	2,1	613	11,1	2,9	281	5,4	1,4
70-79	2.135	19,8	8,3	1.354	24,5	11,1	776	14,9	5,8
80-89	4.889	45,3	16,2	2.442	44,1	22,3	2.431	46,7	12,8
90+	2.379	22,1	21,1	788	14,2	31,3	1.580	30,3	18,4
Gesamt (inkl. unbekannt)	10.781	100,0	2,2	5.535	100,0	2,4	5.211	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,3		
