Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.323	4,0	1.289,4	709	4,4	1.347,7	611	3,6	1.222,0
10-19	2.731	8,2	2.941,4	1.406	8,8	2.942,0	1.318	7,7	2.925,2
20-29	6.611	20,0	3.988,9	3.098	19,4	3.907,3	3.510	20,5	4.060,4
30-39	5.801	17,5	3.332,0	2.837	17,8	3.296,2	2.957	17,3	3.359,0
40-49	5.065	15,3	3.473,8	2.401	15,1	3.287,4	2.657	15,5	3.651,3
50-59	5.090	15,4	3.212,3	2.591	16,3	3.218,6	2.496	14,6	3.201,8
60-69	2.449	7,4	2.281,9	1.251	7,8	2.459,2	1.193	7,0	2.113,3
70-79	1.681	5,1	2.037,1	811	5,1	2.178,8	868	5,1	1.916,2
80-89	1.694	5,1	3.362,4	673	4,2	3.242,1	1.021	6,0	3.446,6
90+	612	1,8	7.564,9	150	0,9	6.440,5	462	2,7	8.019,4
Gesamt (inkl. unbekannt)	33.108	100,0	3.043,4	15.941	100,0	3.005,1	17.112	100,0	3.070,0
Anteil Männer/Frauen (%)				48,1			51,7		
