Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	83	0,7	0,1	57	0,9	0,2	26	0,4	0,1
50-59	412	3,4	0,5	292	4,7	0,7	119	2,1	0,3
60-69	1.000	8,3	2,3	693	11,2	3,1	304	5,2	1,4
70-79	2.396	19,9	8,8	1.508	24,3	11,7	880	15,2	6,2
80-89	5.457	45,2	17,1	2.742	44,1	23,6	2.694	46,4	13,4
90+	2.678	22,2	22,6	897	14,4	33,5	1.767	30,5	19,6
Gesamt (inkl. unbekannt)	12.064	100,0	2,4	6.214	100,0	2,6	5.802	100,0	2,2
Anteil Männer/Frauen (%)				51,5			48,1		
