Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	1	0,3	0,2	1	0,6	0,3	-	-	-
20-29	-	-	-	-	-	-	-	-	-
30-39	-	-	-	-	-	-	-	-	-
40-49	3	1,0	0,3	2	1,2	0,4	1	0,8	0,2
50-59	17	5,7	1,1	12	7,2	1,5	5	3,9	0,6
60-69	35	11,8	4,2	19	11,4	4,4	16	12,4	4,1
70-79	64	21,6	12,3	35	21,0	13,5	29	22,5	11,1
80-89	131	44,3	24,3	79	47,3	37,1	52	40,3	16,0
90+	45	15,2	33,3	19	11,4	52,8	26	20,2	26,5
Gesamt (inkl. unbekannt)	296	100,0	3,7	167	100,0	4,3	129	100,0	3,1
Anteil Männer/Frauen (%)				56,4			43,6	
