Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	10	0,1	0,0	7	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	15	0,3	0,0	6	0,1	0,0
40-49	76	0,7	0,1	52	1,0	0,2	24	0,5	0,1
50-59	358	3,4	0,5	260	4,8	0,7	98	1,9	0,2
60-69	876	8,3	2,1	596	11,0	2,9	277	5,4	1,4
70-79	2.098	19,8	8,3	1.330	24,5	11,0	764	14,9	5,8
80-89	4.812	45,4	16,1	2.396	44,1	22,2	2.400	46,7	12,8
90+	2.331	22,0	21,1	768	14,2	31,0	1.553	30,2	18,4
Gesamt (inkl. unbekannt)	10.594	100,0	2,2	5.427	100,0	2,4	5.134	100,0	2,1
Anteil Männer/Frauen (%)				51,2			48,5		
