Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.790	4,9	1.599,4	13.788	5,3	1.600,4	12.721	4,5	1.563,8
10-19	52.632	9,6	3.083,0	26.255	10,1	2.974,4	26.038	9,2	3.158,0
20-29	94.120	17,2	4.302,0	45.468	17,4	4.001,1	48.200	17,0	4.584,3
30-39	81.071	14,8	3.612,4	40.447	15,5	3.568,5	40.271	14,2	3.625,4
40-49	79.160	14,4	3.633,1	36.995	14,2	3.430,2	41.821	14,7	3.800,6
50-59	90.132	16,4	3.071,3	44.322	17,0	3.022,9	45.461	16,0	3.095,9
60-69	47.621	8,7	2.134,2	23.928	9,2	2.224,2	23.526	8,3	2.035,9
70-79	29.247	5,3	1.861,1	13.904	5,3	1.952,3	15.205	5,3	1.769,6
80-89	34.016	6,2	3.278,4	12.487	4,8	3.037,8	21.326	7,5	3.403,9
90+	12.336	2,3	6.885,8	2.845	1,1	5.903,1	9.368	3,3	7.153,5
Gesamt (inkl. unbekannt)	547.976	100,0	3.053,3	260.725	100,0	2.960,8	284.231	100,0	3.109,3
Anteil Männer/Frauen (%)				47,6			51,9		
