Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.479	4,9	1.580,9	13.647	5,3	1.584,1	12.560	4,4	1.544,0
10-19	52.339	9,6	3.065,8	26.091	10,1	2.955,8	25.917	9,2	3.143,4
20-29	93.620	17,2	4.279,2	45.225	17,4	3.979,8	47.951	17,0	4.560,6
30-39	80.615	14,8	3.592,1	40.217	15,5	3.548,2	40.046	14,2	3.605,1
40-49	78.686	14,4	3.611,3	36.754	14,2	3.407,9	41.591	14,7	3.779,7
50-59	89.642	16,5	3.054,6	44.059	17,0	3.004,9	45.235	16,0	3.080,6
60-69	47.376	8,7	2.123,2	23.803	9,2	2.212,6	23.403	8,3	2.025,3
70-79	29.111	5,3	1.852,5	13.836	5,3	1.942,7	15.138	5,4	1.761,8
80-89	33.906	6,2	3.267,8	12.439	4,8	3.026,1	21.264	7,5	3.394,0
90+	12.310	2,3	6.871,3	2.836	1,1	5.884,4	9.350	3,3	7.139,8
Gesamt (inkl. unbekannt)	544.933	100,0	3.036,3	259.196	100,0	2.943,4	282.752	100,0	3.093,1
Anteil Männer/Frauen (%)				47,6			51,9		
