Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.263	3,9	1.230,9	677	4,4	1.286,9	585	3,5	1.170,0
10-19	2.651	8,3	2.855,2	1.369	8,9	2.864,6	1.279	7,7	2.838,7
20-29	6.409	20,0	3.867,1	3.010	19,5	3.796,3	3.396	20,5	3.928,5
30-39	5.631	17,6	3.234,3	2.760	17,9	3.206,7	2.864	17,3	3.253,4
40-49	4.902	15,3	3.362,0	2.329	15,1	3.188,8	2.566	15,5	3.526,2
50-59	4.937	15,4	3.115,7	2.506	16,2	3.113,0	2.428	14,7	3.114,6
60-69	2.372	7,4	2.210,2	1.212	7,8	2.382,5	1.157	7,0	2.049,5
70-79	1.624	5,1	1.968,0	793	5,1	2.130,4	829	5,0	1.830,1
80-89	1.624	5,1	3.223,4	649	4,2	3.126,5	975	5,9	3.291,4
90+	595	1,9	7.354,8	143	0,9	6.140,0	451	2,7	7.828,5
Gesamt (inkl. unbekannt)	32.049	100,0	2.946,1	15.461	100,0	2.914,6	16.547	100,0	2.968,7
Anteil Männer/Frauen (%)				48,2			51,6		
