Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	27.314	4,9	1.630,7	14.050	5,3	1.630,9	12.977	4,5	1.595,3
10-19	53.235	9,6	3.118,3	26.567	10,1	3.009,8	26.324	9,2	3.192,7
20-29	95.172	17,2	4.350,1	45.990	17,4	4.047,1	48.738	17,0	4.635,4
30-39	81.966	14,8	3.652,3	40.927	15,5	3.610,8	40.680	14,2	3.662,2
40-49	79.990	14,4	3.671,2	37.427	14,2	3.470,3	42.218	14,7	3.836,7
50-59	91.053	16,4	3.102,7	44.789	17,0	3.054,7	45.919	16,0	3.127,1
60-69	48.091	8,7	2.155,2	24.190	9,2	2.248,6	23.734	8,3	2.053,9
70-79	29.495	5,3	1.876,9	14.025	5,3	1.969,2	15.333	5,3	1.784,5
80-89	34.207	6,2	3.296,9	12.565	4,8	3.056,8	21.436	7,5	3.421,5
90+	12.385	2,2	6.913,2	2.862	1,1	5.938,4	9.401	3,3	7.178,7
Gesamt (inkl. unbekannt)	553.790	100,0	3.085,7	263.680	100,0	2.994,3	287.051	100,0	3.140,2
Anteil Männer/Frauen (%)				47,6			51,8		
