Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	11	0,1	0,0	7	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	96	0,7	0,1	66	0,9	0,2	30	0,4	0,1
50-59	489	3,5	0,5	343	4,7	0,7	145	2,2	0,3
60-69	1.196	8,5	2,3	830	11,4	3,2	362	5,4	1,4
70-79	2.867	20,4	9,2	1.814	24,8	12,3	1.046	15,6	6,5
80-89	6.315	44,9	17,9	3.188	43,6	24,6	3.101	46,2	14,0
90+	3.059	21,7	24,2	1.037	14,2	35,3	2.006	29,9	21,0
Gesamt (inkl. unbekannt)	14.066	100,0	2,4	7.307	100,0	2,6	6.705	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7		
