Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	25	0,2	0,0	17	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	469	3,4	0,5	334	4,7	0,7	134	2,1	0,3
60-69	1.141	8,4	2,4	794	11,2	3,3	343	5,3	1,4
70-79	2.762	20,2	9,3	1.749	24,7	12,4	1.006	15,4	6,5
80-89	6.148	45,1	17,9	3.099	43,8	24,6	3.024	46,4	14,1
90+	2.992	21,9	24,1	1.009	14,3	35,2	1.967	30,2	20,9
Gesamt (inkl. unbekannt)	13.644	100,0	2,5	7.074	100,0	2,7	6.517	100,0	2,3
Anteil Männer/Frauen (%)				51,8			47,8		
