Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.108	4,7	1.499,0	12.911	5,1	1.498,6	11.941	4,3	1.467,9
10-19	50.666	9,6	2.967,8	25.231	10,1	2.858,4	25.124	9,1	3.047,2
20-29	90.857	17,2	4.152,9	43.829	17,5	3.856,9	46.594	17,0	4.431,5
30-39	78.064	14,8	3.478,4	38.927	15,5	3.434,4	38.795	14,1	3.492,5
40-49	76.272	14,4	3.500,5	35.583	14,2	3.299,3	40.367	14,7	3.668,5
50-59	87.137	16,5	2.969,3	42.759	17,0	2.916,3	44.048	16,0	2.999,7
60-69	45.966	8,7	2.060,0	23.085	9,2	2.145,9	22.717	8,3	1.965,9
70-79	28.348	5,4	1.803,9	13.465	5,4	1.890,6	14.746	5,4	1.716,1
80-89	33.232	6,3	3.202,9	12.144	4,8	2.954,3	20.881	7,6	3.332,9
90+	12.166	2,3	6.790,9	2.789	1,1	5.786,9	9.250	3,4	7.063,4
Gesamt (inkl. unbekannt)	528.679	100,0	2.945,7	251.026	100,0	2.850,6	274.766	100,0	3.005,8
Anteil Männer/Frauen (%)				47,5			52,0	
