Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.906	4,7	1.427,3	12.299	5,1	1.427,6	11.356	4,3	1.396,0
10-19	48.946	9,6	2.867,1	24.339	10,1	2.757,4	24.298	9,2	2.947,0
20-29	87.431	17,2	3.996,3	42.163	17,5	3.710,3	44.825	17,0	4.263,3
30-39	75.018	14,8	3.342,7	37.339	15,5	3.294,3	37.328	14,1	3.360,4
40-49	73.284	14,4	3.363,4	34.108	14,2	3.162,5	38.857	14,7	3.531,2
50-59	83.726	16,5	2.853,0	40.976	17,0	2.794,7	42.416	16,0	2.888,6
60-69	43.987	8,7	1.971,3	22.073	9,2	2.051,8	21.746	8,2	1.881,9
70-79	27.104	5,3	1.724,8	12.841	5,3	1.803,0	14.114	5,3	1.642,6
80-89	31.979	6,3	3.082,1	11.636	4,8	2.830,8	20.122	7,6	3.211,8
90+	11.844	2,3	6.611,2	2.677	1,1	5.554,5	9.030	3,4	6.895,4
Gesamt (inkl. unbekannt)	508.181	100,0	2.831,5	240.779	100,0	2.734,3	264.428	100,0	2.892,7
Anteil Männer/Frauen (%)				47,4			52,0		
