Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	11	0,1	0,0	7	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	86	0,7	0,1	60	0,9	0,2	26	0,4	0,1
50-59	433	3,5	0,5	309	4,8	0,7	123	2,0	0,3
60-69	1.038	8,3	2,3	723	11,2	3,2	312	5,2	1,4
70-79	2.497	19,9	9,0	1.579	24,5	12,0	912	15,2	6,3
80-89	5.662	45,2	17,3	2.827	43,8	23,8	2.812	46,8	13,7
90+	2.764	22,1	23,0	934	14,5	34,1	1.815	30,2	19,8
Gesamt (inkl. unbekannt)	12.519	100,0	2,4	6.458	100,0	2,6	6.013	100,0	2,2
Anteil Männer/Frauen (%)				51,6			48,0		
