Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	29.389	5,1	1.754,6	15.112	5,5	1.754,1	13.952	4,7	1.715,2
10-19	55.561	9,7	3.254,5	27.769	10,1	3.145,9	27.434	9,2	3.327,4
20-29	98.687	17,2	4.510,8	47.735	17,4	4.200,6	50.485	17,0	4.801,6
30-39	85.440	14,9	3.807,1	42.736	15,6	3.770,4	42.325	14,2	3.810,3
40-49	83.068	14,5	3.812,4	38.971	14,2	3.613,5	43.740	14,7	3.975,0
50-59	94.272	16,4	3.212,4	46.507	17,0	3.171,9	47.406	16,0	3.228,4
60-69	49.813	8,7	2.232,4	25.064	9,1	2.329,8	24.577	8,3	2.126,8
70-79	30.316	5,3	1.929,2	14.423	5,3	2.025,1	15.755	5,3	1.833,6
80-89	34.756	6,0	3.349,8	12.787	4,7	3.110,8	21.762	7,3	3.473,5
90+	12.534	2,2	6.996,3	2.902	1,1	6.021,4	9.507	3,2	7.259,7
Gesamt (inkl. unbekannt)	574.557	100,0	3.201,4	274.256	100,0	3.114,4	297.193	100,0	3.251,1
Anteil Männer/Frauen (%)				47,7			51,7		
