Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	22.760	4,7	1.358,8	11.712	5,1	1.359,5	10.813	4,3	1.329,3
10-19	47.182	9,7	2.763,7	23.438	10,2	2.655,3	23.462	9,3	2.845,6
20-29	83.917	17,3	3.835,7	40.523	17,6	3.566,0	42.972	17,0	4.087,0
30-39	71.771	14,8	3.198,0	35.763	15,5	3.155,2	35.688	14,1	3.212,8
40-49	70.206	14,5	3.222,1	32.687	14,2	3.030,8	37.235	14,7	3.383,8
50-59	80.098	16,5	2.729,4	39.191	17,0	2.672,9	40.610	16,1	2.765,6
60-69	41.773	8,6	1.872,1	20.933	9,1	1.945,8	20.687	8,2	1.790,2
70-79	25.691	5,3	1.634,9	12.210	5,3	1.714,4	13.341	5,3	1.552,6
80-89	30.189	6,2	2.909,6	10.928	4,7	2.658,5	19.044	7,5	3.039,7
90+	11.258	2,3	6.284,1	2.520	1,1	5.228,8	8.596	3,4	6.564,0
Gesamt (inkl. unbekannt)	485.841	100,0	2.707,1	230.257	100,0	2.614,8	252.815	100,0	2.765,7
Anteil Männer/Frauen (%)				47,4			52,0		
