Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	24	0,2	0,0	16	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	467	3,4	0,5	332	4,7	0,7	134	2,1	0,3
60-69	1.128	8,3	2,4	789	11,2	3,3	335	5,2	1,4
70-79	2.741	20,2	9,3	1.732	24,6	12,4	1.002	15,5	6,6
80-89	6.121	45,1	17,9	3.083	43,9	24,6	3.013	46,5	14,1
90+	2.975	21,9	24,1	1.005	14,3	35,2	1.954	30,1	20,8
Gesamt (inkl. unbekannt)	13.564	100,0	2,5	7.030	100,0	2,7	6.481	100,0	2,3
Anteil Männer/Frauen (%)				51,8			47,8		
