Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.201	4,8	1.564,3	13.496	5,2	1.566,6	12.440	4,4	1.529,3
10-19	52.064	9,6	3.049,7	25.940	10,1	2.938,7	25.797	9,2	3.128,8
20-29	93.196	17,2	4.259,8	45.011	17,5	3.960,9	47.744	17,0	4.540,9
30-39	80.228	14,8	3.574,8	40.025	15,5	3.531,3	39.856	14,2	3.588,0
40-49	78.329	14,4	3.594,9	36.590	14,2	3.392,7	41.399	14,7	3.762,2
50-59	89.258	16,5	3.041,6	43.859	17,0	2.991,3	45.056	16,0	3.068,4
60-69	47.158	8,7	2.113,4	23.695	9,2	2.202,6	23.295	8,3	2.015,9
70-79	28.999	5,3	1.845,4	13.782	5,3	1.935,1	15.083	5,4	1.755,4
80-89	33.816	6,2	3.259,2	12.403	4,8	3.017,4	21.210	7,5	3.385,4
90+	12.289	2,3	6.859,6	2.827	1,1	5.865,8	9.338	3,3	7.130,6
Gesamt (inkl. unbekannt)	542.399	100,0	3.022,2	257.917	100,0	2.928,9	281.518	100,0	3.079,6
Anteil Männer/Frauen (%)				47,6			51,9		
