Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.529	4,3	1.490,1	818	4,8	1.554,9	706	3,8	1.412,0
10-19	2.950	8,3	3.177,3	1.525	8,9	3.191,0	1.417	7,7	3.145,0
20-29	7.109	19,9	4.289,4	3.338	19,4	4.210,0	3.767	20,4	4.357,7
30-39	6.251	17,5	3.590,4	3.060	17,8	3.555,2	3.181	17,3	3.613,5
40-49	5.469	15,3	3.750,9	2.593	15,1	3.550,3	2.869	15,6	3.942,6
50-59	5.480	15,3	3.458,4	2.784	16,2	3.458,4	2.693	14,6	3.454,6
60-69	2.633	7,4	2.453,4	1.339	7,8	2.632,2	1.288	7,0	2.281,6
70-79	1.815	5,1	2.199,4	876	5,1	2.353,4	936	5,1	2.066,3
80-89	1.797	5,0	3.566,8	715	4,2	3.444,5	1.082	5,9	3.652,6
90+	636	1,8	7.861,6	157	0,9	6.741,1	479	2,6	8.314,5
Gesamt (inkl. unbekannt)	35.709	100,0	3.282,5	17.221	100,0	3.246,3	18.432	100,0	3.306,8
Anteil Männer/Frauen (%)				48,2			51,6		
