Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.612	4,7	1.469,4	12.648	5,1	1.468,1	11.706	4,3	1.439,1
10-19	50.000	9,6	2.928,8	24.887	10,1	2.819,4	24.808	9,2	3.008,9
20-29	89.511	17,2	4.091,4	43.166	17,5	3.798,6	45.914	17,0	4.366,8
30-39	76.818	14,8	3.422,9	38.274	15,5	3.376,8	38.196	14,1	3.438,6
40-49	75.057	14,4	3.444,8	34.967	14,2	3.242,2	39.770	14,7	3.614,2
50-59	85.801	16,5	2.923,8	42.050	17,0	2.867,9	43.418	16,0	2.956,8
60-69	45.175	8,7	2.024,6	22.685	9,2	2.108,7	22.327	8,2	1.932,1
70-79	27.859	5,4	1.772,8	13.215	5,4	1.855,5	14.504	5,4	1.688,0
80-89	32.828	6,3	3.163,9	11.972	4,8	2.912,5	20.640	7,6	3.294,4
90+	12.065	2,3	6.734,5	2.748	1,1	5.701,8	9.185	3,4	7.013,8
Gesamt (inkl. unbekannt)	520.633	100,0	2.900,9	246.917	100,0	2.804,0	270.781	100,0	2.962,2
Anteil Männer/Frauen (%)				47,4			52,0		
