Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	29.854	5,2	1.782,4	15.339	5,5	1.780,5	14.179	4,7	1.743,1
10-19	56.137	9,7	3.288,3	28.074	10,2	3.180,5	27.698	9,3	3.359,4
20-29	99.468	17,2	4.546,5	48.126	17,4	4.235,0	50.871	17,0	4.838,3
30-39	86.182	14,9	3.840,1	43.134	15,6	3.805,6	42.668	14,3	3.841,2
40-49	83.708	14,5	3.841,8	39.290	14,2	3.643,0	44.062	14,7	4.004,3
50-59	94.896	16,4	3.233,7	46.819	16,9	3.193,2	47.714	15,9	3.249,4
60-69	50.181	8,7	2.248,9	25.251	9,1	2.347,2	24.757	8,3	2.142,4
70-79	30.509	5,3	1.941,4	14.515	5,2	2.038,0	15.856	5,3	1.845,3
80-89	34.875	6,0	3.361,2	12.831	4,6	3.121,5	21.838	7,3	3.485,7
90+	12.558	2,2	7.009,7	2.907	1,1	6.031,7	9.526	3,2	7.274,2
Gesamt (inkl. unbekannt)	579.088	100,0	3.226,6	276.537	100,0	3.140,3	299.419	100,0	3.275,5
Anteil Männer/Frauen (%)				47,8			51,7
