Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	92	0,7	0,1	64	0,9	0,2	28	0,4	0,1
50-59	477	3,4	0,5	338	4,7	0,7	138	2,1	0,3
60-69	1.168	8,4	2,4	806	11,2	3,2	358	5,4	1,5
70-79	2.804	20,3	9,3	1.780	24,8	12,4	1.017	15,4	6,5
80-89	6.236	45,1	18,0	3.152	43,9	24,7	3.059	46,4	14,1
90+	3.016	21,8	24,1	1.020	14,2	35,2	1.980	30,0	20,9
Gesamt (inkl. unbekannt)	13.838	100,0	2,4	7.188	100,0	2,6	6.596	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7	
