Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	92	0,7	0,1	64	0,9	0,2	28	0,4	0,1
50-59	478	3,4	0,5	339	4,7	0,7	138	2,1	0,3
60-69	1.172	8,4	2,4	808	11,2	3,2	360	5,4	1,5
70-79	2.814	20,3	9,3	1.788	24,8	12,4	1.019	15,4	6,5
80-89	6.249	45,0	18,0	3.158	43,8	24,7	3.066	46,4	14,1
90+	3.023	21,8	24,1	1.022	14,2	35,2	1.985	30,0	20,9
Gesamt (inkl. unbekannt)	13.872	100,0	2,4	7.207	100,0	2,6	6.611	100,0	2,2
Anteil Männer/Frauen (%)				52,0			47,7		
