Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.665	4,8	1.532,3	13.214	5,2	1.533,8	12.188	4,4	1.498,3
10-19	51.383	9,6	3.009,8	25.585	10,1	2.898,5	25.481	9,2	3.090,5
20-29	92.063	17,2	4.208,0	44.435	17,5	3.910,2	47.192	17,0	4.488,4
30-39	79.099	14,8	3.524,5	39.457	15,5	3.481,2	39.298	14,1	3.537,8
40-49	77.338	14,4	3.549,4	36.089	14,2	3.346,2	40.918	14,7	3.718,5
50-59	88.226	16,5	3.006,4	43.321	17,0	2.954,6	44.568	16,0	3.035,1
60-69	46.592	8,7	2.088,1	23.401	9,2	2.175,2	23.024	8,3	1.992,5
70-79	28.696	5,4	1.826,1	13.640	5,4	1.915,2	14.920	5,4	1.736,4
80-89	33.546	6,3	3.233,2	12.288	4,8	2.989,4	21.054	7,6	3.360,5
90+	12.247	2,3	6.836,1	2.814	1,1	5.838,8	9.309	3,3	7.108,5
Gesamt (inkl. unbekannt)	535.731	100,0	2.985,0	254.547	100,0	2.890,6	278.257	100,0	3.044,0
Anteil Männer/Frauen (%)				47,5			51,9		
