Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	22.819	4,7	1.362,4	11.740	5,1	1.362,7	10.843	4,3	1.333,0
10-19	47.297	9,7	2.770,5	23.498	10,2	2.662,1	23.511	9,3	2.851,6
20-29	84.098	17,3	3.844,0	40.616	17,6	3.574,2	43.058	17,0	4.095,2
30-39	71.912	14,8	3.204,3	35.829	15,5	3.161,1	35.763	14,1	3.219,5
40-49	70.349	14,4	3.228,7	32.741	14,2	3.035,8	37.320	14,7	3.391,6
50-59	80.278	16,5	2.735,6	39.279	17,0	2.678,9	40.698	16,1	2.771,6
60-69	41.889	8,6	1.877,3	20.996	9,1	1.951,7	20.740	8,2	1.794,8
70-79	25.746	5,3	1.638,4	12.242	5,3	1.718,9	13.364	5,3	1.555,3
80-89	30.272	6,2	2.917,6	10.970	4,8	2.668,7	19.083	7,5	3.045,9
90+	11.283	2,3	6.298,0	2.527	1,1	5.243,3	8.613	3,4	6.577,0
Gesamt (inkl. unbekannt)	486.941	100,0	2.713,2	230.791	100,0	2.620,8	253.361	100,0	2.771,6
Anteil Männer/Frauen (%)				47,4			52,0		
