Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,7	0,1	-	-	-
30-39	1	0,2	0,0	1	0,4	0,0	-	-	-
40-49	6	1,3	0,1	4	1,4	0,2	2	1,0	0,1
50-59	19	4,0	0,4	16	5,7	0,6	3	1,5	0,1
60-69	36	7,6	1,5	26	9,3	2,1	10	5,1	0,9
70-79	91	19,1	5,6	69	24,6	8,7	22	11,3	2,7
80-89	213	44,7	13,1	124	44,1	19,1	89	45,6	9,1
90+	108	22,7	18,2	39	13,9	27,3	69	35,4	15,3
Gesamt (inkl. unbekannt)	476	100,0	1,5	281	100,0	1,8	195	100,0	1,2
Anteil Männer/Frauen (%)				59,0			41,0		
