Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	28	0,2	0,0	19	0,3	0,0	9	0,1	0,0
40-49	92	0,7	0,1	64	0,9	0,2	28	0,4	0,1
50-59	479	3,4	0,5	339	4,7	0,7	139	2,1	0,3
60-69	1.173	8,4	2,3	809	11,2	3,2	360	5,4	1,5
70-79	2.820	20,3	9,3	1.790	24,8	12,4	1.023	15,5	6,5
80-89	6.252	45,0	18,0	3.159	43,8	24,7	3.068	46,4	14,1
90+	3.026	21,8	24,1	1.024	14,2	35,3	1.986	30,0	20,9
Gesamt (inkl. unbekannt)	13.886	100,0	2,4	7.213	100,0	2,6	6.619	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7		
