Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.716	4,7	1.415,9	12.197	5,1	1.415,8	11.274	4,3	1.385,9
10-19	48.651	9,6	2.849,8	24.186	10,1	2.740,0	24.160	9,2	2.930,3
20-29	86.871	17,2	3.970,7	41.905	17,5	3.687,6	44.522	17,0	4.234,4
30-39	74.477	14,8	3.318,6	37.080	15,5	3.271,4	37.047	14,1	3.335,1
40-49	72.751	14,4	3.338,9	33.857	14,2	3.139,3	38.581	14,7	3.506,2
50-59	83.176	16,5	2.834,3	40.695	17,0	2.775,5	42.159	16,1	2.871,1
60-69	43.656	8,7	1.956,5	21.898	9,2	2.035,5	21.588	8,2	1.868,2
70-79	26.856	5,3	1.709,0	12.741	5,3	1.789,0	13.968	5,3	1.625,6
80-89	31.712	6,3	3.056,4	11.534	4,8	2.806,0	19.956	7,6	3.185,3
90+	11.768	2,3	6.568,8	2.659	1,1	5.517,2	8.972	3,4	6.851,2
Gesamt (inkl. unbekannt)	504.607	100,0	2.811,6	239.089	100,0	2.715,1	262.571	100,0	2.872,4
Anteil Männer/Frauen (%)				47,4			52,0		
