Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.396	4,7	1.456,5	12.531	5,1	1.454,5	11.613	4,3	1.427,6
10-19	49.656	9,6	2.908,6	24.694	10,1	2.797,6	24.657	9,2	2.990,6
20-29	88.898	17,2	4.063,4	42.874	17,5	3.772,9	45.596	17,0	4.336,6
30-39	76.295	14,8	3.399,6	38.020	15,5	3.354,4	37.929	14,1	3.414,5
40-49	74.554	14,4	3.421,7	34.725	14,2	3.219,8	39.514	14,7	3.590,9
50-59	85.170	16,5	2.902,3	41.737	17,0	2.846,6	43.103	16,0	2.935,4
60-69	44.818	8,7	2.008,6	22.510	9,2	2.092,4	22.146	8,2	1.916,5
70-79	27.664	5,4	1.760,4	13.121	5,4	1.842,3	14.405	5,4	1.676,5
80-89	32.635	6,3	3.145,3	11.895	4,9	2.893,8	20.526	7,6	3.276,3
90+	12.022	2,3	6.710,5	2.736	1,1	5.676,9	9.153	3,4	6.989,4
Gesamt (inkl. unbekannt)	517.004	100,0	2.880,7	245.147	100,0	2.783,9	268.956	100,0	2.942,2
Anteil Männer/Frauen (%)				47,4			52,0		
