Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	25.520	4,8	1.523,6	13.131	5,2	1.524,2	12.127	4,4	1.490,8
10-19	51.220	9,6	3.000,3	25.502	10,1	2.889,1	25.400	9,2	3.080,7
20-29	91.732	17,2	4.192,9	44.266	17,5	3.895,4	47.028	17,0	4.472,8
30-39	78.827	14,8	3.512,4	39.327	15,5	3.469,7	39.154	14,1	3.524,8
40-49	77.060	14,4	3.536,7	35.959	14,2	3.334,2	40.772	14,7	3.705,3
50-59	87.929	16,5	2.996,3	43.173	17,0	2.944,5	44.421	16,0	3.025,1
60-69	46.409	8,7	2.079,9	23.318	9,2	2.167,5	22.926	8,3	1.984,0
70-79	28.608	5,4	1.820,5	13.592	5,4	1.908,5	14.880	5,4	1.731,7
80-89	33.456	6,3	3.224,5	12.247	4,8	2.979,4	21.005	7,6	3.352,7
90+	12.231	2,3	6.827,2	2.811	1,1	5.832,6	9.295	3,4	7.097,8
Gesamt (inkl. unbekannt)	533.859	100,0	2.974,6	253.628	100,0	2.880,2	277.311	100,0	3.033,6
Anteil Männer/Frauen (%)				47,5			51,9	
