Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	22	0,2	0,0	16	0,2	0,0	6	0,1	0,0
40-49	90	0,7	0,1	63	0,9	0,2	27	0,4	0,1
50-59	456	3,5	0,5	322	4,7	0,7	133	2,1	0,3
60-69	1.094	8,3	2,3	764	11,2	3,3	326	5,1	1,4
70-79	2.642	20,0	9,2	1.664	24,4	12,2	971	15,3	6,5
80-89	5.960	45,2	17,8	2.989	43,9	24,3	2.948	46,6	14,0
90+	2.912	22,1	23,8	983	14,4	34,9	1.913	30,2	20,6
Gesamt (inkl. unbekannt)	13.194	100,0	2,5	6.811	100,0	2,7	6.332	100,0	2,3
Anteil Männer/Frauen (%)				51,6			48,0		
