Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	24	0,2	0,0	16	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	468	3,4	0,5	333	4,7	0,7	134	2,1	0,3
60-69	1.133	8,3	2,4	790	11,2	3,3	339	5,2	1,4
70-79	2.753	20,2	9,3	1.741	24,7	12,4	1.005	15,5	6,6
80-89	6.134	45,1	17,9	3.092	43,8	24,6	3.017	46,4	14,1
90+	2.986	21,9	24,1	1.008	14,3	35,2	1.962	30,2	20,9
Gesamt (inkl. unbekannt)	13.605	100,0	2,5	7.052	100,0	2,7	6.500	100,0	2,3
Anteil Männer/Frauen (%)				51,8			47,8		
