Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.000	4,8	1.552,3	13.388	5,2	1.554,0	12.347	4,4	1.517,9
10-19	51.853	9,6	3.037,3	25.821	10,1	2.925,3	25.707	9,2	3.117,9
20-29	92.839	17,2	4.243,5	44.833	17,5	3.945,3	47.565	17,0	4.523,9
30-39	79.898	14,8	3.560,1	39.874	15,5	3.517,9	39.674	14,1	3.571,6
40-49	78.043	14,4	3.581,8	36.447	14,2	3.379,4	41.257	14,7	3.749,3
50-59	88.956	16,5	3.031,3	43.700	17,0	2.980,5	44.916	16,0	3.058,8
60-69	46.997	8,7	2.106,2	23.610	9,2	2.194,7	23.219	8,3	2.009,3
70-79	28.936	5,4	1.841,4	13.749	5,4	1.930,5	15.052	5,4	1.751,8
80-89	33.752	6,2	3.253,0	12.375	4,8	3.010,5	21.173	7,5	3.379,5
90+	12.276	2,3	6.852,3	2.823	1,1	5.857,5	9.329	3,3	7.123,8
Gesamt (inkl. unbekannt)	540.416	100,0	3.011,1	256.912	100,0	2.917,5	280.540	100,0	3.068,9
Anteil Männer/Frauen (%)				47,5			51,9		
