Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.065	4,7	1.377,0	11.866	5,1	1.377,3	10.963	4,3	1.347,7
10-19	47.700	9,7	2.794,1	23.696	10,2	2.684,5	23.708	9,2	2.875,5
20-29	84.981	17,3	3.884,3	41.024	17,6	3.610,1	43.529	17,0	4.140,0
30-39	72.710	14,8	3.239,8	36.204	15,5	3.194,2	36.178	14,1	3.256,9
40-49	71.138	14,4	3.264,9	33.104	14,2	3.069,5	37.739	14,7	3.429,6
50-59	81.246	16,5	2.768,5	39.736	17,0	2.710,1	41.199	16,1	2.805,7
60-69	42.464	8,6	1.903,1	21.278	9,1	1.977,9	21.029	8,2	1.819,8
70-79	26.131	5,3	1.662,9	12.425	5,3	1.744,6	13.562	5,3	1.578,3
80-89	30.766	6,2	2.965,2	11.165	4,8	2.716,2	19.387	7,6	3.094,4
90+	11.421	2,3	6.375,1	2.560	1,1	5.311,8	8.721	3,4	6.659,5
Gesamt (inkl. unbekannt)	492.614	100,0	2.744,8	233.406	100,0	2.650,5	256.381	100,0	2.804,7
Anteil Männer/Frauen (%)				47,4			52,0		
