Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	11	0,1	0,0	7	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	86	0,7	0,1	60	0,9	0,2	26	0,4	0,1
50-59	435	3,5	0,5	310	4,8	0,7	124	2,0	0,3
60-69	1.044	8,3	2,3	726	11,2	3,2	315	5,2	1,4
70-79	2.516	20,0	9,1	1.588	24,4	12,1	922	15,2	6,4
80-89	5.692	45,2	17,4	2.843	43,8	23,8	2.826	46,7	13,7
90+	2.784	22,1	23,1	945	14,5	34,5	1.823	30,1	19,9
Gesamt (inkl. unbekannt)	12.596	100,0	2,4	6.498	100,0	2,6	6.049	100,0	2,2
Anteil Männer/Frauen (%)				51,6			48,0		
