Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	11	0,1	0,0	7	0,1	0,0	4	0,1	0,0
30-39	21	0,2	0,0	16	0,2	0,0	5	0,1	0,0
40-49	84	0,7	0,1	58	0,9	0,2	26	0,4	0,1
50-59	430	3,5	0,5	308	4,8	0,7	121	2,0	0,3
60-69	1.030	8,3	2,3	717	11,2	3,2	310	5,2	1,4
70-79	2.474	19,9	9,0	1.562	24,4	12,0	906	15,2	6,3
80-89	5.625	45,3	17,3	2.812	43,9	23,8	2.790	46,8	13,6
90+	2.741	22,1	22,9	928	14,5	34,0	1.799	30,2	19,7
Gesamt (inkl. unbekannt)	12.423	100,0	2,4	6.411	100,0	2,6	5.965	100,0	2,2
Anteil Männer/Frauen (%)				51,6			48,0		
