Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	28.281	5,0	1.688,5	14.563	5,4	1.690,4	13.416	4,6	1.649,3
10-19	54.336	9,6	3.182,8	27.134	10,1	3.074,0	26.845	9,2	3.255,9
20-29	96.866	17,2	4.427,6	46.830	17,4	4.121,0	49.577	17,0	4.715,2
30-39	83.667	14,8	3.728,1	41.819	15,6	3.689,5	41.475	14,2	3.733,8
40-49	81.472	14,5	3.739,2	38.164	14,2	3.538,6	42.956	14,7	3.903,7
50-59	92.626	16,4	3.156,3	45.626	17,0	3.111,8	46.647	16,0	3.176,7
60-69	48.903	8,7	2.191,6	24.611	9,2	2.287,7	24.120	8,3	2.087,3
70-79	29.927	5,3	1.904,4	14.235	5,3	1.998,7	15.551	5,3	1.809,8
80-89	34.508	6,1	3.325,9	12.683	4,7	3.085,5	21.619	7,4	3.450,7
90+	12.462	2,2	6.956,1	2.883	1,1	5.981,9	9.454	3,2	7.219,2
Gesamt (inkl. unbekannt)	563.798	100,0	3.141,4	268.816	100,0	3.052,7	291.936	100,0	3.193,6
Anteil Männer/Frauen (%)				47,7			51,8		
