Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	28.712	5,1	1.714,2	14.788	5,5	1.716,5	13.608	4,6	1.672,9
10-19	54.789	9,6	3.209,3	27.374	10,1	3.101,2	27.059	9,2	3.281,9
20-29	97.564	17,2	4.459,5	47.186	17,4	4.152,3	49.917	17,0	4.747,6
30-39	84.339	14,8	3.758,0	42.172	15,6	3.720,7	41.791	14,2	3.762,2
40-49	82.080	14,5	3.767,1	38.472	14,2	3.567,2	43.255	14,7	3.930,9
50-59	93.297	16,4	3.179,2	45.989	17,0	3.136,6	46.955	16,0	3.197,7
60-69	49.246	8,7	2.207,0	24.777	9,1	2.303,2	24.297	8,3	2.102,6
70-79	30.073	5,3	1.913,7	14.300	5,3	2.007,9	15.633	5,3	1.819,4
80-89	34.596	6,1	3.334,3	12.721	4,7	3.094,7	21.667	7,4	3.458,4
90+	12.485	2,2	6.969,0	2.892	1,1	6.000,6	9.468	3,2	7.229,9
Gesamt (inkl. unbekannt)	567.940	100,0	3.164,5	270.941	100,0	3.076,8	293.927	100,0	3.215,4
Anteil Männer/Frauen (%)				47,7			51,8		
