Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.210	4,7	1.445,4	12.443	5,1	1.444,3	11.519	4,3	1.416,1
10-19	49.350	9,6	2.890,7	24.544	10,1	2.780,6	24.506	9,2	2.972,2
20-29	88.152	17,2	4.029,3	42.490	17,5	3.739,1	45.232	16,9	4.302,0
30-39	75.713	14,8	3.373,6	37.695	15,5	3.325,7	37.673	14,1	3.391,5
40-49	73.940	14,4	3.393,5	34.435	14,2	3.192,9	39.196	14,7	3.562,0
50-59	84.469	16,5	2.878,4	41.369	17,0	2.821,5	42.781	16,0	2.913,4
60-69	44.441	8,7	1.991,7	22.307	9,2	2.073,6	21.973	8,2	1.901,5
70-79	27.391	5,3	1.743,0	12.985	5,3	1.823,2	14.270	5,3	1.660,7
80-89	32.361	6,3	3.118,9	11.780	4,8	2.865,8	20.369	7,6	3.251,2
90+	11.945	2,3	6.667,6	2.717	1,1	5.637,5	9.098	3,4	6.947,4
Gesamt (inkl. unbekannt)	512.865	100,0	2.857,6	243.071	100,0	2.760,3	266.937	100,0	2.920,1
Anteil Männer/Frauen (%)				47,4			52,0		
