Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	15	0,3	0,0	6	0,1	0,0
40-49	76	0,7	0,1	52	0,9	0,2	24	0,4	0,1
50-59	385	3,4	0,5	272	4,7	0,7	112	2,1	0,3
60-69	938	8,3	2,2	646	11,2	3,0	289	5,3	1,4
70-79	2.226	19,8	8,5	1.409	24,4	11,3	811	14,9	6,0
80-89	5.083	45,2	16,5	2.543	44,1	22,8	2.522	46,3	13,0
90+	2.504	22,2	21,9	826	14,3	32,3	1.667	30,6	19,1
Gesamt (inkl. unbekannt)	11.255	100,0	2,3	5.772	100,0	2,5	5.443	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,4		
