Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,6	0,1	-	-	-
30-39	2	0,4	0,0	1	0,3	0,0	1	0,4	0,0
40-49	6	1,1	0,1	4	1,3	0,2	2	0,9	0,1
50-59	21	3,9	0,4	18	5,8	0,7	3	1,3	0,1
60-69	41	7,6	1,6	28	9,0	2,2	13	5,7	1,0
70-79	102	18,9	5,8	78	25,0	9,2	24	10,5	2,6
80-89	236	43,7	13,4	135	43,3	19,4	101	44,3	9,5
90+	130	24,1	20,6	46	14,7	29,9	84	36,8	17,6
Gesamt (inkl. unbekannt)	540	100,0	1,6	312	100,0	1,9	228	100,0	1,3
Anteil Männer/Frauen (%)				57,8			42,2		
