Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	22.639	4,7	1.351,6	11.650	5,1	1.352,3	10.757	4,3	1.322,4
10-19	46.974	9,7	2.751,5	23.323	10,2	2.642,3	23.373	9,3	2.834,8
20-29	83.558	17,3	3.819,3	40.352	17,6	3.550,9	42.784	17,0	4.069,1
30-39	71.431	14,8	3.182,8	35.592	15,5	3.140,2	35.517	14,1	3.197,4
40-49	69.837	14,4	3.205,2	32.526	14,2	3.015,9	37.028	14,7	3.365,0
50-59	79.718	16,5	2.716,5	39.023	17,0	2.661,5	40.393	16,1	2.750,8
60-69	41.535	8,6	1.861,4	20.813	9,1	1.934,7	20.572	8,2	1.780,3
70-79	25.530	5,3	1.624,6	12.140	5,3	1.704,6	13.252	5,3	1.542,3
80-89	30.021	6,2	2.893,4	10.872	4,7	2.644,9	18.934	7,5	3.022,1
90+	11.170	2,3	6.235,0	2.496	1,1	5.179,0	8.537	3,4	6.519,0
Gesamt (inkl. unbekannt)	483.407	100,0	2.693,5	229.137	100,0	2.602,1	251.513	100,0	2.751,4
Anteil Männer/Frauen (%)				47,4			52,0		
