Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	22	0,2	0,0	16	0,2	0,0	6	0,1	0,0
40-49	90	0,7	0,1	63	0,9	0,2	27	0,4	0,1
50-59	459	3,5	0,5	325	4,7	0,7	133	2,1	0,3
60-69	1.101	8,3	2,4	770	11,2	3,3	327	5,1	1,4
70-79	2.663	20,1	9,2	1.682	24,5	12,3	974	15,3	6,5
80-89	5.989	45,2	17,8	3.004	43,8	24,3	2.961	46,6	14,0
90+	2.922	22,0	23,8	990	14,4	35,1	1.916	30,2	20,6
Gesamt (inkl. unbekannt)	13.264	100,0	2,5	6.860	100,0	2,7	6.352	100,0	2,3
Anteil Männer/Frauen (%)				51,7			47,9		
