Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	1.278	3,9	1.245,5	687	4,4	1.305,9	590	3,5	1.180,0
10-19	2.680	8,3	2.886,5	1.383	8,9	2.893,9	1.293	7,7	2.869,8
20-29	6.467	20,0	3.902,1	3.035	19,5	3.827,8	3.428	20,5	3.965,5
30-39	5.682	17,6	3.263,6	2.781	17,8	3.231,1	2.893	17,3	3.286,3
40-49	4.955	15,3	3.398,4	2.348	15,1	3.214,9	2.600	15,5	3.573,0
50-59	4.968	15,3	3.135,3	2.522	16,2	3.132,9	2.443	14,6	3.133,9
60-69	2.397	7,4	2.233,5	1.221	7,8	2.400,2	1.171	7,0	2.074,3
70-79	1.643	5,1	1.991,0	798	5,1	2.143,8	843	5,0	1.861,0
80-89	1.652	5,1	3.279,0	662	4,2	3.189,1	990	5,9	3.342,0
90+	603	1,9	7.453,6	147	0,9	6.311,7	456	2,7	7.915,3
Gesamt (inkl. unbekannt)	32.372	100,0	2.975,7	15.595	100,0	2.939,8	16.726	100,0	3.000,8
Anteil Männer/Frauen (%)				48,2			51,7		
