Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.078	4,7	1.437,5	12.379	5,1	1.436,9	11.442	4,3	1.406,6
10-19	49.144	9,6	2.878,7	24.426	10,1	2.767,2	24.403	9,2	2.959,7
20-29	87.788	17,2	4.012,6	42.326	17,5	3.724,7	45.017	16,9	4.281,5
30-39	75.366	14,8	3.358,2	37.510	15,5	3.309,4	37.496	14,1	3.375,6
40-49	73.611	14,4	3.378,4	34.267	14,2	3.177,3	39.021	14,7	3.546,1
50-59	84.073	16,5	2.864,9	41.149	17,0	2.806,5	42.592	16,0	2.900,6
60-69	44.197	8,7	1.980,7	22.178	9,2	2.061,6	21.848	8,2	1.890,7
70-79	27.238	5,3	1.733,3	12.899	5,3	1.811,1	14.188	5,3	1.651,2
80-89	32.162	6,3	3.099,8	11.701	4,8	2.846,6	20.238	7,6	3.230,3
90+	11.893	2,3	6.638,5	2.694	1,1	5.589,8	9.062	3,4	6.919,9
Gesamt (inkl. unbekannt)	510.510	100,0	2.844,5	241.857	100,0	2.746,5	265.644	100,0	2.906,0
Anteil Männer/Frauen (%)				47,4			52,0		
