Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	-	-	-	-	-	-	-	-	-
10-19	-	-	-	-	-	-	-	-	-
20-29	2	0,4	0,0	2	0,6	0,1	-	-	-
30-39	2	0,4	0,0	1	0,3	0,0	1	0,4	0,0
40-49	6	1,1	0,1	4	1,2	0,1	2	0,9	0,1
50-59	22	3,9	0,4	19	5,8	0,7	3	1,3	0,1
60-69	44	7,8	1,6	31	9,5	2,2	13	5,6	1,0
70-79	108	19,2	5,9	83	25,3	9,3	25	10,7	2,6
80-89	242	43,1	13,2	139	42,4	18,9	103	44,0	9,3
90+	136	24,2	21,2	49	14,9	31,0	87	37,2	17,9
Gesamt (inkl. unbekannt)	562	100,0	1,5	328	100,0	1,8	234	100,0	1,2
Anteil Männer/Frauen (%)				58,4			41,6		
