Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	1	0,0	0,0	1	0,0	0,0
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	21	0,2	0,0	16	0,3	0,0	5	0,1	0,0
40-49	80	0,7	0,1	54	0,9	0,2	26	0,5	0,1
50-59	400	3,4	0,5	283	4,7	0,7	116	2,1	0,3
60-69	974	8,3	2,2	673	11,2	3,1	298	5,3	1,4
70-79	2.317	19,9	8,7	1.466	24,5	11,6	844	15,0	6,1
80-89	5.261	45,1	16,7	2.635	44,0	23,1	2.607	46,3	13,2
90+	2.595	22,2	22,2	858	14,3	32,5	1.726	30,6	19,4
Gesamt (inkl. unbekannt)	11.671	100,0	2,3	5.994	100,0	2,5	5.635	100,0	2,2
Anteil Männer/Frauen (%)				51,4			48,3		
