Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.838	4,7	1.482,9	12.776	5,1	1.483,0	11.805	4,3	1.451,2
10-19	50.262	9,6	2.944,1	25.031	10,1	2.835,8	24.927	9,1	3.023,3
20-29	90.067	17,2	4.116,8	43.448	17,5	3.823,4	46.195	17,0	4.393,6
30-39	77.346	14,8	3.446,4	38.545	15,5	3.400,7	38.459	14,1	3.462,3
40-49	75.568	14,4	3.468,2	35.233	14,2	3.266,9	40.019	14,7	3.636,8
50-59	86.366	16,5	2.943,0	42.355	17,0	2.888,7	43.685	16,0	2.975,0
60-69	45.492	8,7	2.038,8	22.853	9,2	2.124,3	22.479	8,3	1.945,3
70-79	28.098	5,4	1.788,0	13.333	5,4	1.872,1	14.625	5,4	1.702,1
80-89	32.991	6,3	3.179,7	12.050	4,8	2.931,5	20.733	7,6	3.309,3
90+	12.104	2,3	6.756,3	2.765	1,1	5.737,1	9.212	3,4	7.034,4
Gesamt (inkl. unbekannt)	524.012	100,0	2.919,7	248.692	100,0	2.824,1	272.443	100,0	2.980,4
Anteil Männer/Frauen (%)				47,5			52,0		
