Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	338	4,2	1.435,9	175	4,5	1.451,1	162	3,9	1.411,2
10-19	660	8,2	2.626,9	342	8,8	2.593,7	316	7,7	2.646,8
20-29	1.277	15,9	4.630,5	655	16,8	4.464,9	616	14,9	4.772,2
30-39	1.053	13,1	3.481,7	516	13,2	3.394,7	529	12,8	3.516,4
40-49	1.138	14,1	3.654,7	486	12,4	3.193,0	646	15,7	4.058,6
50-59	1.589	19,7	3.540,2	795	20,4	3.543,1	792	19,2	3.528,3
60-69	822	10,2	2.370,6	431	11,0	2.508,1	389	9,4	2.224,0
70-79	517	6,4	2.359,8	256	6,6	2.505,6	261	6,3	2.232,3
80-89	526	6,5	3.700,3	211	5,4	3.667,7	315	7,6	3.722,5
90+	130	1,6	5.788,1	35	0,9	6.065,9	94	2,3	5.632,1
Gesamt (inkl. unbekannt)	8.053	100,0	3.151,2	3.904	100,0	3.086,0	4.121	100,0	3.193,4
Anteil Männer/Frauen (%)				48,5			51,2		
