Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	24	0,2	0,0	16	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	464	3,5	0,5	329	4,7	0,7	134	2,1	0,3
60-69	1.117	8,3	2,4	781	11,2	3,3	332	5,2	1,4
70-79	2.713	20,2	9,3	1.713	24,6	12,4	993	15,4	6,5
80-89	6.065	45,1	17,9	3.051	43,8	24,5	2.990	46,5	14,0
90+	2.955	22,0	24,0	998	14,3	35,1	1.941	30,2	20,7
Gesamt (inkl. unbekannt)	13.446	100,0	2,5	6.961	100,0	2,7	6.433	100,0	2,3
Anteil Männer/Frauen (%)				51,8			47,8		
