Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	23.488	4,7	1.402,3	12.077	5,1	1.401,8	11.168	4,3	1.372,9
10-19	48.338	9,7	2.831,4	24.022	10,1	2.721,4	24.012	9,2	2.912,3
20-29	86.117	17,2	3.936,2	41.569	17,5	3.658,0	44.103	16,9	4.194,6
30-39	73.868	14,8	3.291,4	36.776	15,5	3.244,6	36.747	14,1	3.308,1
40-49	72.168	14,4	3.312,2	33.584	14,2	3.114,0	38.276	14,7	3.478,4
50-59	82.467	16,5	2.810,1	40.339	17,0	2.751,2	41.808	16,1	2.847,2
60-69	43.219	8,6	1.936,9	21.665	9,1	2.013,9	21.387	8,2	1.850,8
70-79	26.565	5,3	1.690,5	12.607	5,3	1.770,1	13.813	5,3	1.607,6
80-89	31.361	6,3	3.022,6	11.378	4,8	2.768,0	19.758	7,6	3.153,7
90+	11.652	2,3	6.504,0	2.622	1,1	5.440,4	8.895	3,4	6.792,4
Gesamt (inkl. unbekannt)	500.223	100,0	2.787,2	236.983	100,0	2.691,2	260.320	100,0	2.847,8
Anteil Männer/Frauen (%)				47,4			52,0		
