Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	27.902	5,0	1.665,8	14.363	5,4	1.667,2	13.245	4,6	1.628,2
10-19	53.869	9,6	3.155,4	26.892	10,1	3.046,6	26.626	9,2	3.229,4
20-29	96.177	17,2	4.396,1	46.466	17,4	4.089,0	49.254	17,0	4.684,5
30-39	82.934	14,8	3.695,4	41.443	15,5	3.656,4	41.126	14,2	3.702,3
40-49	80.832	14,4	3.709,8	37.840	14,2	3.508,6	42.640	14,7	3.875,0
50-59	92.003	16,4	3.135,1	45.280	17,0	3.088,2	46.371	16,0	3.157,9
60-69	48.568	8,7	2.176,6	24.431	9,2	2.271,0	23.967	8,3	2.074,1
70-79	29.747	5,3	1.893,0	14.152	5,3	1.987,1	15.458	5,3	1.799,0
80-89	34.375	6,1	3.313,0	12.636	4,7	3.074,0	21.533	7,4	3.437,0
90+	12.423	2,2	6.934,4	2.876	1,1	5.967,4	9.425	3,3	7.197,1
Gesamt (inkl. unbekannt)	559.733	100,0	3.118,8	266.657	100,0	3.028,1	289.929	100,0	3.171,7
Anteil Männer/Frauen (%)				47,6			51,8		
