Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	4	0,0	0,0	2	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	24	0,2	0,0	16	0,2	0,0	8	0,1	0,0
40-49	91	0,7	0,1	63	0,9	0,2	28	0,4	0,1
50-59	462	3,5	0,5	327	4,7	0,7	134	2,1	0,3
60-69	1.113	8,3	2,4	778	11,3	3,3	331	5,2	1,4
70-79	2.693	20,1	9,3	1.698	24,6	12,3	988	15,4	6,5
80-89	6.031	45,1	17,8	3.026	43,8	24,4	2.981	46,5	14,0
90+	2.946	22,0	23,9	996	14,4	35,1	1.934	30,2	20,7
Gesamt (inkl. unbekannt)	13.377	100,0	2,5	6.914	100,0	2,7	6.411	100,0	2,3
Anteil Männer/Frauen (%)				51,7			47,9		
