Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	2	0,0	0,0	2	0,0	0,0	-	-	-
20-29	10	0,1	0,0	6	0,1	0,0	4	0,1	0,0
30-39	27	0,2	0,0	18	0,3	0,0	9	0,1	0,0
40-49	92	0,7	0,1	64	0,9	0,2	28	0,4	0,1
50-59	476	3,4	0,5	337	4,7	0,7	138	2,1	0,3
60-69	1.164	8,4	2,4	804	11,2	3,2	356	5,4	1,5
70-79	2.801	20,3	9,3	1.778	24,8	12,4	1.016	15,4	6,5
80-89	6.220	45,1	18,0	3.144	43,9	24,7	3.051	46,4	14,1
90+	3.007	21,8	24,1	1.015	14,2	35,1	1.976	30,0	20,9
Gesamt (inkl. unbekannt)	13.803	100,0	2,4	7.169	100,0	2,6	6.581	100,0	2,2
Anteil Männer/Frauen (%)				51,9			47,7		
