Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.502	4,7	1.462,8	12.589	5,1	1.461,3	11.656	4,3	1.432,9
10-19	49.813	9,6	2.917,8	24.786	10,1	2.808,0	24.722	9,2	2.998,4
20-29	89.189	17,2	4.076,7	43.005	17,5	3.784,4	45.752	17,0	4.351,4
30-39	76.548	14,8	3.410,8	38.148	15,5	3.365,7	38.052	14,1	3.425,6
40-49	74.798	14,4	3.432,9	34.843	14,2	3.230,7	39.637	14,7	3.602,1
50-59	85.482	16,5	2.912,9	41.885	17,0	2.856,7	43.264	16,0	2.946,3
60-69	45.005	8,7	2.016,9	22.602	9,2	2.101,0	22.241	8,2	1.924,7
70-79	27.754	5,4	1.766,1	13.164	5,4	1.848,4	14.451	5,4	1.681,8
80-89	32.731	6,3	3.154,6	11.934	4,9	2.903,3	20.584	7,6	3.285,5
90+	12.037	2,3	6.718,9	2.741	1,1	5.687,3	9.164	3,4	6.997,8
Gesamt (inkl. unbekannt)	518.754	100,0	2.890,4	246.001	100,0	2.793,6	269.837	100,0	2.951,9
Anteil Männer/Frauen (%)				47,4			52,0	
