Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	24.690	4,7	1.474,1	12.694	5,1	1.473,5	11.738	4,3	1.443,0
10-19	50.088	9,6	2.933,9	24.934	10,1	2.824,8	24.847	9,2	3.013,6
20-29	89.674	17,2	4.098,8	43.249	17,5	3.805,9	45.995	17,0	4.374,5
30-39	76.962	14,8	3.429,3	38.352	15,5	3.383,7	38.264	14,1	3.444,7
40-49	75.178	14,4	3.450,3	35.036	14,2	3.248,6	39.825	14,7	3.619,2
50-59	85.943	16,5	2.928,6	42.129	17,0	2.873,3	43.481	16,0	2.961,1
60-69	45.266	8,7	2.028,6	22.738	9,2	2.113,6	22.365	8,2	1.935,4
70-79	27.910	5,4	1.776,1	13.241	5,4	1.859,2	14.529	5,4	1.690,9
80-89	32.860	6,3	3.167,0	11.987	4,8	2.916,2	20.658	7,6	3.297,3
90+	12.071	2,3	6.737,9	2.753	1,1	5.712,2	9.186	3,4	7.014,6
Gesamt (inkl. unbekannt)	521.551	100,0	2.906,0	247.419	100,0	2.809,7	271.201	100,0	2.966,8
Anteil Männer/Frauen (%)				47,4			52,0		
