Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz	Fälle	Ant. (%)	Inzidenz
0-9	26.365	4,8	1.574,1	13.585	5,2	1.576,9	12.514	4,4	1.538,4
10-19	52.237	9,6	3.059,8	26.034	10,1	2.949,4	25.874	9,2	3.138,2
20-29	93.489	17,2	4.273,2	45.164	17,5	3.974,4	47.882	17,0	4.554,0
30-39	80.489	14,8	3.586,4	40.163	15,5	3.543,4	39.975	14,2	3.598,7
40-49	78.588	14,4	3.606,8	36.711	14,2	3.403,9	41.538	14,7	3.774,9
50-59	89.518	16,5	3.050,4	43.994	17,0	3.000,5	45.179	16,0	3.076,7
60-69	47.304	8,7	2.120,0	23.766	9,2	2.209,2	23.370	8,3	2.022,4
70-79	29.066	5,3	1.849,6	13.811	5,3	1.939,2	15.120	5,4	1.759,7
80-89	33.874	6,2	3.264,8	12.424	4,8	3.022,5	21.247	7,5	3.391,3
90+	12.304	2,3	6.867,9	2.834	1,1	5.880,3	9.346	3,3	7.136,7
Gesamt (inkl. unbekannt)	544.084	100,0	3.031,6	258.775	100,0	2.938,6	282.342	100,0	3.088,7
Anteil Männer/Frauen (%)				47,6			51,9	
