Altersgruppe	alle (inkl. divers und unbekannt)	männlich	weiblich
Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle	Todesfälle	Ant. (%)	pro 100 Fälle
0-9	3	0,0	0,0	1	0,0	0,0	2	0,0	0,0
10-19	1	0,0	0,0	1	0,0	0,0	-	-	-
20-29	9	0,1	0,0	6	0,1	0,0	3	0,1	0,0
30-39	20	0,2	0,0	15	0,3	0,0	5	0,1	0,0
40-49	77	0,7	0,1	53	0,9	0,2	24	0,4	0,1
50-59	394	3,4	0,5	279	4,7	0,7	114	2,1	0,3
60-69	959	8,3	2,2	661	11,2	3,1	295	5,3	1,4
70-79	2.281	19,8	8,6	1.444	24,5	11,5	830	14,9	6,0
80-89	5.185	45,1	16,6	2.593	43,9	22,9	2.574	46,3	13,1
90+	2.557	22,2	22,0	846	14,3	32,4	1.700	30,6	19,2
Gesamt (inkl. unbekannt)	11.495	100,0	2,3	5.900	100,0	2,5	5.554	100,0	2,1
Anteil Männer/Frauen (%)				51,3			48,3		
